City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
384,Soller,ES,39.7662,2.7152,86.34,60,1,3,6/22/2022 14:44
483,Panaba,MX,21.2833,-88.2667,86.31,59,13,8.41,6/22/2022 14:44
508,Garowe,SO,8.4054,48.4845,86.23,38,100,23.98,6/22/2022 14:45
303,Port-De-Bouc,FR,43.4,4.9833,86.22,49,0,12.66,6/22/2022 14:43
278,Sal Rei,CV,16.1833,-22.9167,86.2,66,75,16.11,6/22/2022 14:43
653,Bangassou,CF,4.7413,22.8184,86.16,58,32,3.56,6/22/2022 14:46
500,Lewistown,US,40.5992,-77.5714,86.11,91,0,0,6/22/2022 14:45
147,Edgewater,US,28.9889,-80.9023,86.09,61,0,5.75,6/22/2022 14:38
501,Salalah,OM,17.0151,54.0924,86.09,79,75,11.5,6/22/2022 14:43
107,Santa Marta,CO,11.2408,-74.199,86.05,70,75,4.61,6/22/2022 14:41
138,Mazagao,BR,-0.115,-51.2894,86.05,68,91,5.14,6/22/2022 14:41
203,Bachaquero,VE,9.9694,-71.1494,86.04,66,53,7.18,6/22/2022 14:42
214,Road Town,VG,18.4167,-64.6167,86.04,62,20,8.05,6/22/2022 14:38
669,Abu Samrah,SY,35.3029,37.1841,86.04,35,28,19.8,6/22/2022 14:46
119,Okmulgee,US,35.6234,-95.9605,86.02,83,0,3.44,6/22/2022 14:41
295,Taybad,IR,34.74,60.7756,85.82,14,0,6.69,6/22/2022 14:43
355,Black River,JM,18.0264,-77.8487,85.66,57,41,3.67,6/22/2022 14:43
677,Saurimo,AO,-9.6608,20.3916,85.59,24,5,0.47,6/22/2022 14:46
470,Malanje,AO,-9.5402,16.341,85.51,26,18,1.32,6/22/2022 14:44
99,Aksu,CN,41.1231,80.2644,85.39,19,48,6.15,6/22/2022 14:41
163,Victoria,HK,22.2855,114.1577,85.32,82,80,8.01,6/22/2022 14:40
340,Madera,US,37.1666,-119.8343,85.24,27,89,1.01,6/22/2022 14:43
473,Shenzhen,CN,22.5455,114.0683,85.21,94,61,5.93,6/22/2022 14:44
663,Osterburg,DE,52.7833,11.7667,85.21,21,1,6.6,6/22/2022 14:46
140,Old Town,CZ,50.087,14.4202,85.15,35,0,6.91,6/22/2022 14:41
286,Boppard,DE,50.2308,7.5899,85.14,56,100,1.41,6/22/2022 14:43
601,Erzin,TR,36.9559,36.2,85.12,46,2,6.53,6/22/2022 14:46
618,Lethem,GY,3.3803,-59.7968,85.12,64,9,3.22,6/22/2022 14:46
66,Jamestown,US,42.097,-79.2353,85.05,63,0,9.22,6/22/2022 14:37
288,Iturama,BR,-19.7281,-50.1956,85.03,28,37,10.25,6/22/2022 14:40
301,Fort Myers Beach,US,26.452,-81.9481,85.01,70,0,5.99,6/22/2022 14:43
18,Lady Lake,US,28.9175,-81.9229,84.94,62,75,4.61,6/22/2022 14:37
331,Anahuac,MX,27.2333,-100.15,84.9,58,23,16.04,6/22/2022 14:43
8,Georgetown,MY,5.4112,100.3354,84.88,79,20,7,6/22/2022 14:39
152,Bathsheba,BB,13.2167,-59.5167,84.81,74,40,17.27,6/22/2022 14:41
619,Qarqin,AF,37.4185,66.0436,84.56,21,53,15.55,6/22/2022 14:46
92,Hithadhoo,MV,-0.6,73.0833,84.54,66,21,5.61,6/22/2022 14:41
344,Aquiraz,BR,-3.9014,-38.3911,84.45,70,87,12.17,6/22/2022 14:43
377,Sahuaripa,MX,29.05,-109.2333,84.31,50,3,2.57,6/22/2022 14:43
358,Puerto Colombia,CO,10.9878,-74.9547,84.29,73,89,2.95,6/22/2022 14:43
682,Pachino,IT,36.7186,15.0907,84.27,49,0,20.83,6/22/2022 14:46
326,Nuevitas,CU,21.5453,-77.2644,84.25,64,57,8.61,6/22/2022 14:43
479,Farah,AF,32.5,62.5,84.22,10,0,3,6/22/2022 14:44
607,Mahajanga,MG,-15.7167,46.3167,84.22,34,40,8.05,6/22/2022 14:46
623,Kalmunai,LK,7.4167,81.8167,84.2,71,100,2.59,6/22/2022 14:46
73,Cockburn Town,TC,21.4612,-71.1419,84.16,61,40,6.91,6/22/2022 14:41
444,Guasdualito,VE,7.2424,-70.7324,84.16,94,40,2.3,6/22/2022 14:44
433,Big Spring,US,32.2504,-101.4787,84.11,50,0,10.36,6/22/2022 14:41
101,Thinadhoo,MV,0.5333,72.9333,84.07,68,65,5.3,6/22/2022 14:41
215,Les Cayes,HT,18.2,-73.75,84.02,69,97,8.32,6/22/2022 14:42
375,Virginia Beach,US,36.8529,-75.978,84.02,61,40,11.5,6/22/2022 14:43
489,Itarema,BR,-2.9248,-39.9167,83.93,61,27,12.57,6/22/2022 14:45
481,Rafai,CF,4.95,23.9167,83.91,57,70,1.12,6/22/2022 14:44
194,Mana,GF,5.6592,-53.7767,83.77,66,29,4.43,6/22/2022 14:42
67,Thanh Hoa,VN,19.8,105.7667,83.75,83,100,8.59,6/22/2022 14:41
667,Kulim,MY,5.365,100.5618,83.75,92,100,2.64,6/22/2022 14:46
585,Dudinka,RU,69.4058,86.1778,83.62,36,93,6.44,6/22/2022 14:45
592,Jiwani,PK,25.05,61.7417,83.48,87,0,15.26,6/22/2022 14:45
424,Pundaguitan,PH,6.3711,126.1689,83.39,69,99,7.29,6/22/2022 14:44
690,Ganta,LR,7.3022,-8.5308,83.39,62,85,1.63,6/22/2022 14:46
548,Kavaratti,IN,10.5669,72.642,83.3,78,100,20.11,6/22/2022 14:45
644,Sinnamary,GF,5.3833,-52.95,83.26,68,64,4.41,6/22/2022 14:46
94,Talnakh,RU,69.4865,88.3972,83.21,32,63,7.96,6/22/2022 14:41
372,Jardim,BR,-21.4803,-56.1381,83.12,41,5,9.71,6/22/2022 14:42
33,Dustlik,UZ,40.5247,68.0358,83.03,35,100,6.64,6/22/2022 14:40
